0,0,1
0,0,2
1,1,3
2,2,1
3,3,1
4,4,2
5,5,2
6,6,3
7,7,3
8,8,4
9,9,4
10,10,5
11,11,5
12,12,6
13,13,6
14,14,7
15,15,7
16,0,8
17,1,8
18,2,9
19,3,9
20,4,10
21,5,10
22,6,11
23,7,11
24,8,12
25,9,12
26,10,13
27,11,13
28,12,14
29,13,14
30,14,15
31,15,15
32,0,16
33,1,16
34,2,17
35,3,17
36,4,18
37,5,18
38,6,19
39,7,19
40,8,20
41,9,20
42,10,21
43,11,21
44,12,22
45,13,22
46,14,23
47,15,23
48,0,24
49,1,24
50,2,25
51,3,25
52,4,26
53,5,26
54,6,27
55,7,27
56,8,28
57,9,28
58,10,29
59,11,29
60,12,30
61,13,30
62,14,31
63,15,31
64,0,32
65,1,32
66,2,33
67,3,33
68,4,34
69,5,34
70,6,35
71,7,35
72,8,36
73,9,36
74,10,37
75,11,37
76,12,38
77,13,38
78,14,39
79,15,39
